name,phone,number_type,stars,area,website
"Aura Celestia - Bar, Kitchen & Celebration",N/A,N/A,,,
Aurora Towers,N/A,N/A,,,
Banyan Tree,N/A,N/A,,nigdi,
Central Park,N/A,N/A,,,
Chaitrali Hotel,N/A,N/A,,Shivajinagar,
City Point Restaurant and Bar,N/A,N/A,,,
Coronet Hotel,N/A,N/A,,,
Crowne Plaza,N/A,N/A,,,
Da Casa Business Hotel डा कासा बिज़नस होटल,N/A,N/A,,,http://dacasahotel.com/
Dosti Hotel,N/A,N/A,,Pimpri,
Ekaant- The Retreat Hotel,N/A,N/A,,"Dasve, Lavasa",http://www.ekaant.com/
Eminent Hotel,N/A,N/A,,Baner,
Executive Tamanna,N/A,N/A,,,
FabExpress SRH,N/A,N/A,,Pune,https://www.fabhotels.com/?source=google&medium=ppc&campaignid=1751436608&adgroupid=67318237623&device=c&keyword=fabhotels
FabHotels FabExpress The Corporate Hub,N/A,N/A,,,https://www.fabhotels.com/hotels-in-pune/fabexpress-the-corporate-hub-giyeqqqp.html
FabHotels Imperio,N/A,N/A,,,
Fortune Select Dasve,N/A,N/A,,"Dasve, Lavasa",https://www.fortunehotels.in/resort/Lavasa-Fortune_Select_Dasve.aspx
Garuda,N/A,N/A,,,
Ginger hotel,N/A,N/A,,,
Golden Fields,N/A,N/A,,,
GoodLuck,N/A,N/A,,,
Govind Hari Vadevale,N/A,N/A,,,
Grand Tamanna Hotel,N/A,N/A,,,https://tamannahotels.com/hotels-hinjawadi-pune/
H.A. Hotel,N/A,N/A,,pimpri,
HARIYALADAMMA ENTERPRISES,N/A,N/A,,,
HOTEL ROYAL INDIANS,N/A,N/A,,Hinjawadi,
Hill Top,N/A,N/A,,,
Hill View,N/A,N/A,,,
Holiday Inn Express Pune Hinjawadi,N/A,N/A,,,https://www.ihg.com/holidayinnexpress/hotels/gb/en/maharashtra/mhzph/hoteldetail
Hotel Aamantran beer bar & restaurant,N/A,N/A,,Pimpri,
Hotel Abhijeet New Sweet Home,N/A,N/A,,,
Hotel Agatya,N/A,N/A,,,
Hotel Amrale Misal,N/A,N/A,,,
Hotel Amrita Executive,N/A,N/A,,,
Hotel Arjun,N/A,N/A,,Baner,
Hotel Arusai,N/A,N/A,,Pune,
Hotel Ashirwad,N/A,N/A,,,
Hotel Ashoka,N/A,N/A,,,
Hotel Bhooshan,N/A,N/A,,,
Hotel Blu Grass,N/A,N/A,,Hinjawadi,
Hotel Centro,N/A,N/A,,,
Hotel Chul Mutton,N/A,N/A,,Baner,
Hotel Crown Imperial,N/A,N/A,,,
Hotel Executive Residency,N/A,N/A,,,
Hotel Gaonkari,N/A,N/A,,Hinjawadi,
Hotel Garawa,N/A,N/A,,,
Hotel Green Park,N/A,N/A,,,
Hotel Gulmohr,N/A,N/A,,,
Hotel Haveli,N/A,N/A,,,
Hotel Jagdamba,N/A,N/A,,Pimpri,
Hotel Janjira,N/A,N/A,,,
Hotel Jeevan,N/A,N/A,,Pimpri,
Hotel Jolly Restro Bar & Lodge,N/A,N/A,,,
Hotel Kala Sagar,N/A,N/A,,,
Hotel Kohinoor Jejuri,N/A,N/A,,,
Hotel Krishna,N/A,N/A,,,
Hotel Lotus,N/A,N/A,,,
Hotel Madhav,N/A,N/A,,,
Hotel Mahableshwar,N/A,N/A,,Baner,
Hotel Maharaja,N/A,N/A,,,
Hotel Maifil,N/A,N/A,,Pimpri,
Hotel Malhar,N/A,N/A,,Pimpri,
Hotel Martand Vijay Lodge,N/A,N/A,,,
Hotel Mukeshi Pantarn,N/A,N/A,,Pimpri,
Hotel Muktai Veg & Non Veg,N/A,N/A,,Pune,
Hotel Nilayam Family Restaurant,N/A,N/A,,Baner,
Hotel O Galaxy,N/A,N/A,,Koregaon Park,
Hotel Omkar Dining Hall,N/A,N/A,,Hinjawadi,
Hotel Parichay,N/A,N/A,,Baner,
Hotel Prasanna,N/A,N/A,,Baner,
Hotel Radiant Lodge,N/A,N/A,,Pune,
Hotel Raj,N/A,N/A,,,
Hotel Royal Palace,N/A,N/A,,,
Hotel Samrat,N/A,N/A,,,
Hotel Samrat Lodge,N/A,N/A,,Pimpri,
Hotel Sargam,N/A,N/A,,,
Hotel Sarthak Lodge,N/A,N/A,,,
Hotel Sasarwadi Mutton Khanawal,N/A,N/A,,Baner,
Hotel Shilpa (Gavran),N/A,N/A,,Pimpri,
Hotel Solitaire,N/A,N/A,,Hinjawadi,
Hotel Sundaram Restaurant & Bar,N/A,N/A,,Pimpri,
Hotel Suruchi Satyam Lodge,N/A,N/A,,,
Hotel Tip Top International,N/A,N/A,,,
Hotel Tulsi Pure Veg,N/A,N/A,,Baner,
Hotel Turning Point,N/A,N/A,,,
Hotel Woodland,N/A,N/A,,Pune,
Hotel kunal garden,N/A,N/A,,Pune,
Hotel prathamjay,N/A,N/A,,pune,
Hyatt Palace,N/A,N/A,,Pune,
Hyatt Regency Pune,N/A,N/A,,Pune,
Hygiene hotel,N/A,N/A,,PUNE,
I Love Delight Chinese,N/A,N/A,,,
Ibis,N/A,N/A,,,
Ibis Hinjawadi,N/A,N/A,,,
Ibis Pune Viman Nagar,N/A,N/A,,,
JW Marriott Pune,N/A,N/A,5,,
Jagdamb hotel,N/A,N/A,,Hadapsar,
Janjira hotel,N/A,N/A,,Pimpri,
Kapila Business Hotel,N/A,N/A,,Pune,https://www.kapila.com
Keys Hotel,N/A,N/A,,,
Kohinoor Executive,N/A,N/A,,,https://www.kohinoorhotels.com/Executive/info.htm
Krishna Hotel And Restaurant,N/A,N/A,,,
Kunal Hotel,N/A,N/A,,,
Kwality Biryani,N/A,N/A,,,
Lemon Tree Hotel,N/A,N/A,,,https://www.lemontreehotels.com/lemon-tree-hotel/pune/hinjawadi-pune.aspx
MTDC Resort,N/A,N/A,,,https://www.maharashtratourism.gov.in/mtdc/HTML/MaharashtraTourism/PlanYourTrip/resortshotels.aspx
Madhuban hotel,N/A,N/A,,Pimpri,
Magnus Riverside,N/A,N/A,,,https://www.staymagnus.com/magnus-riverside-kalyani-nagar/
Mahabaleshwar Hotel,N/A,N/A,,Baner,
Mahi Dhaba,N/A,N/A,,,
Mastiff Hotel,N/A,N/A,,,https://www.orangetigerhotels.com/mastiff-hotels/mastiff-hotel-hinjawadi-pune/pune-hotels
Mauli Dhaba,N/A,N/A,,,
Maval Food Junction,N/A,N/A,,,
Maval Grrand,N/A,N/A,,,
Mecure Hotel,N/A,N/A,,"Dasve, Lavasa",
Mejwani pure veg,N/A,N/A,,Pune,
Mind Space Hotel,N/A,N/A,,Pune,
Moneta,N/A,N/A,,Pune,
Namaskar Hotel & Bar,N/A,N/A,,Shivajinagar,
Nana Shri Hotel,N/A,N/A,,,
Neela Executive,N/A,N/A,,,
Nishigandha,N/A,N/A,,,
O Hotel Pune,N/A,N/A,,,
OYO Flagship IT Park,N/A,N/A,,,
OYO Hotel G Residency near INOX,N/A,N/A,,,
OYO Townhouse,N/A,N/A,,,
OYO Vys Inn,N/A,N/A,,,
Om Sai Khanaval,N/A,N/A,,,
Oyo Kamini,N/A,N/A,,,
Pancard Hotel,N/A,N/A,,Baner,
Panchratna,N/A,N/A,,,
Park Central Hotel,N/A,N/A,,Koregaon Park,
Premier Tamanna Hotel,N/A,N/A,,,
Pride,N/A,N/A,,,
Prince Regency,N/A,N/A,,,
Radison Blu Hotel,N/A,N/A,,Kharadi,https://www.radissonhotels.com/en-us/hotels/radisson-blu-kharadi-pune
Radisson Blu,N/A,N/A,,,
Rahul Biryani,N/A,N/A,,,
Raj Mahal,N/A,N/A,,,
Rajratna Executive,N/A,N/A,,,
Rajwada Hotel,N/A,N/A,,Pimpri,
Raviraj,N/A,N/A,,,
Raviraj Hotel,N/A,N/A,,Pimpri,
Regenta,N/A,N/A,,,
Ritz Hotel,N/A,N/A,,,
Royal Hotel,N/A,N/A,,Pune,
Royalty,N/A,N/A,,Pune,
Rupa Lodge,N/A,N/A,,,
Sadanand,N/A,N/A,,,
Sadanand Hotel,N/A,N/A,,Baner,
Sadguru Wade Wale And Special Missile House,N/A,N/A,,,
Sagar Plaza,N/A,N/A,,,
Sai Vishwa Lodge,N/A,N/A,,,
Samadhan Mutton Khanawal,N/A,N/A,,,
Sayaji,N/A,N/A,5,,https://www.sayajihotels.com/sayaji-pune/overview
Seven Loves,N/A,N/A,,Pune,
Sheraton Grand,N/A,N/A,,,
Sheraton Grand Pune,N/A,N/A,,,
Shivneri Food Mall,N/A,N/A,,,
Shree Inn,N/A,N/A,,,
Shree Vitthal Dhaba,N/A,N/A,,,
Shubham Misal,N/A,N/A,,Ravet,
Siddeshwar hotel,N/A,N/A,,,
Sirona,N/A,N/A,,,
Smart Inn,N/A,N/A,,,http://www.smartinn.co.in/
Sonai veg,N/A,N/A,,,
Sriman,N/A,N/A,,,
St. Laurn Business Hotel,N/A,N/A,,Pune,
Stonarc,N/A,N/A,,,
Sun N Sand,N/A,N/A,,,
Surya Villa Hotel,N/A,N/A,,Koregaon Park,
The Dasvino Town and Country Club,N/A,N/A,,"Dasve, Lavasa",
The Deccan Royale Hotel,N/A,N/A,,Pune,
The Golden Arc Boutique Hotel,N/A,N/A,,,
The Gordon House,N/A,N/A,,,
The Monarch Chakan,N/A,N/A,,,
The O Hotel,N/A,N/A,,,
The Oakwood Hotel,N/A,N/A,3,,
The Pride Hotel,N/A,N/A,,Pune,https://www.pridehotel.com/pune-hotels/
Treebo Hotels Guest House,N/A,N/A,,,
Treebo Ranjana's,N/A,N/A,,,
Treebo Sumati Baner,N/A,N/A,,,
Treebo Trend Niraali Executive,N/A,N/A,,,
Utarayana Hotel Road,N/A,N/A,,Pimpri,
Vaibhav Hotel,N/A,N/A,,,
Vithu Mauli Dhaba,N/A,N/A,,,
Viva Inn,N/A,N/A,,,
Vrindavan Misal,N/A,N/A,,,
Wellesley Hotel,N/A,N/A,,,http://www.wellesleyhotel.in/
YKS Sizzlers,N/A,N/A,,,
annapurna hotel,N/A,N/A,,,
dosa king,N/A,N/A,,,
hotel durga lunch home,N/A,N/A,,,
hotel5,N/A,N/A,,,
nisarga dhaba,N/A,N/A,,,
royal,N/A,N/A,,,
shitai hotel,N/A,N/A,,,
swa rashtra,N/A,N/A,,,
vanita hotel,N/A,N/A,,Pimpri,
राजस्थानी होटल रंजनगांव,N/A,N/A,,,
